date,open,high,low,close,volume
02/10/2025,527.22,530.3571,526.75,529.25,20852780
02/07/2025,530.14,532.10,522.19,522.92,29605470
02/06/2025,527.36,529.81,525.7413,529.60,19434450
02/05/2025,521.82,527.01,520.62,526.85,21134070
02/04/2025,518.63,525.11,518.23,524.47,26046750
02/03/2025,513.47,520.8496,511.05,518.11,40580840
01/31/2025,526.92,531.5178,521.19,522.29,38845470
01/30/2025,523.71,526.095,518.21,523.05,27431300
01/29/2025,522.46,522.59,516.8988,520.83,26649010
01/28/2025,515.22,523.00,511.78,521.81,33194210
01/27/2025,511.00,517.99,510.15,514.21,60771700
01/24/2025,533.02,533.79,528.15,529.63,19878250
01/23/2025,529.04,532.76,528.45,532.64,23096590
01/22/2025,529.57,533.82,529.26,531.51,33592990
01/21/2025,524.48,525.97,520.06,524.80,23627970
01/17/2025,522.85,524.0733,513.1086,521.74,51837940
01/16/2025,518.98,519.0599,512.95,513.08,28229040
01/15/2025,513.03,517.85,511.46,516.70,34957550
01/14/2025,508.74,510.155,501.59,505.08,33737240
01/13/2025,501.20,506.02,499.70,505.56,31694210
01/10/2025,511.48,511.58,503.92,507.19,40532500
01/08/2025,515.08,516.9199,510.57,515.27,30777780
01/07/2025,525.59,525.99,513.28,515.18,36690270
01/06/2025,524.02,527.92,522.03,524.54,36109730
01/03/2025,513.35,519.6454,512.53,518.58,29059520
01/02/2025,514.30,516.64,505.71,510.23,36389780
12/31/2024,516.90,517.66,510.26,511.23,29117030
12/30/2024,515.51,519.36,511.83,515.61,34584030
12/27/2024,526.01,526.45,517.86,522.56,33839560
12/26/2024,528.32,531.24,526.31,529.60,19141490
12/24/2024,524.83,530.05,524.19,529.96,17558220
12/23/2024,519.55,523.25,516.13,522.87,29672800
12/20/2024,510.44,524.82,509.29,518.66,60529960
12/19/2024,521.19,521.7599,513.83,514.17,46441750
12/18/2024,535.15,536.8799,515.01,516.47,54703160
12/17/2024,536.36,537.48,534.13,535.80,28579070
12/16/2024,533.08,539.15,533.00,538.17,31979860
12/13/2024,530.46,533.1661,527.3001,530.53,28780410
12/12/2024,527.68,528.96,526.02,526.50,23577500
12/11/2024,525.00,530.61,524.59,529.92,32168580
12/10/2024,523.62,525.38,519.16,520.60,24350040
12/09/2024,525.55,526.35,521.22,522.38,20674410
12/06/2024,522.48,526.72,522.35,526.48,23762610
12/05/2024,523.31,524.0399,521.42,521.81,18169630
12/04/2024,520.32,523.52,519.60,523.26,26086220
12/03/2024,513.95,517.15,513.37,516.87,18597900
12/02/2024,511.01,516.26,510.62,515.29,25147170
11/29/2024,505.93,510.34,505.31,509.74,15333970
11/27/2024,508.17,508.24,501.93,505.30,24957440
11/26/2024,508.08,510.14,507.23,509.31,26557060
11/25/2024,509.90,511.4525,504.2625,506.59,26375170
11/22/2024,504.42,506.53,502.78,505.79,23826640
11/21/2024,506.24,506.96,497.56,504.98,34526740
11/20/2024,503.16,503.48,496.555,503.17,29565490
11/19/2024,497.42,503.9536,497.08,503.46,24523020
11/18/2024,498.13,502.14,496.73,500.02,27192660
11/15/2024,502.94,503.33,494.49,496.57,51461050
11/14/2024,511.91,512.79,507.77,508.69,28679520
11/13/2024,512.40,514.98,509.95,512.25,24567420
11/12/2024,513.77,514.66,509.83,512.91,25835290
11/11/2024,515.37,515.58,510.92,513.84,24167480
11/08/2024,513.035,514.9175,512.41,514.14,22924480
11/07/2024,508.40,514.33,508.34,513.54,32853120
11/06/2024,500.56,506.41,499.60,505.58,43082200
11/05/2024,487.61,492.88,487.52,492.21,24353620
11/04/2024,486.82,489.38,484.2545,486.01,23291580
11/01/2024,485.50,490.7507,485.20,487.43,33655760
10/31/2024,492.38,492.43,483.75,483.85,41245250
10/30/2024,499.39,500.35,495.89,496.38,29755960
10/29/2024,495.72,501.35,493.85,500.16,28014060
10/28/2024,498.46,498.52,495.10,495.40,20477780
10/25/2024,495.14,500.28,494.43,495.32,38762140
10/24/2024,492.11,493.00,489.44,492.32,22024930
10/23/2024,493.59,494.25,485.05,488.36,39346570
10/22/2024,492.73,497.445,491.97,495.96,26685840
10/21/2024,493.25,496.23,491.31,495.42,30336550
10/18/2024,494.06,495.57,493.30,494.47,25335030
10/17/2024,496.44,496.49,491.1901,491.25,27210660
10/16/2024,491.18,491.69,487.57,490.91,22996780
10/15/2024,497.83,498.50,488.68,490.85,34784510
10/14/2024,495.77,498.83,495.26,497.50,26060150
10/11/2024,490.74,494.39,490.17,493.36,20644500
10/10/2024,490.85,494.47,489.53,492.59,25750450
10/09/2024,489.00,493.73,487.95,493.15,24994950
10/08/2024,484.66,489.99,483.845,489.30,28272020
10/07/2024,485.39,486.57,480.87,482.10,24975120
10/04/2024,487.45,487.88,482.385,487.32,30744910
10/03/2024,479.74,484.545,478.99,481.59,25337220
10/02/2024,480.36,483.88,477.72,481.95,23744050
10/01/2024,487.70,488.00,477.40,481.27,42735420
09/30/2024,485.78,488.41,482.92,488.07,30330610
09/27/2024,490.50,490.64,485.56,486.75,22851120
09/26/2024,493.37,493.70,485.80,489.47,32020210
09/25/2024,484.74,487.79,484.56,485.82,26549870
09/24/2024,484.46,486.33,480.17,485.37,25952640
09/23/2024,482.95,484.14,481.60,483.04,24842970
09/20/2024,482.49,483.69,478.30,482.44,34577660
09/19/2024,482.61,486.23,480.49,483.36,52782520
09/18/2024,474.70,478.83,470.83,471.44,39909220
09/17/2024,476.29,477.60,470.97,473.49,30084440
09/16/2024,473.19,473.8599,469.89,473.24,22585600
09/13/2024,472.48,476.53,472.25,475.34,29111850
09/12/2024,468.65,474.04,466.8491,473.22,40175460
09/11/2024,459.91,469.37,451.28,468.62,57842990
09/10/2024,456.24,459.17,452.23,458.66,29680320
09/09/2024,453.06,455.46,449.8234,454.46,32981170
09/06/2024,460.33,461.22,448.19,448.69,50624390
09/05/2024,458.97,465.36,457.939,461.04,34452390
09/04/2024,458.67,464.45,457.73,460.61,32505100
09/03/2024,473.20,473.33,459.4101,461.81,44985220
08/30/2024,475.04,476.90,470.51,476.27,33466470
08/29/2024,473.28,477.93,469.372,470.66,41081470
08/28/2024,476.29,477.02,467.89,471.35,37372440
08/27/2024,473.69,477.84,471.71,476.76,27510000
08/26/2024,479.45,480.38,473.24,475.34,27452640
08/23/2024,479.24,482.74,475.28,480.00,36061510
08/22/2024,484.84,485.54,473.81,474.85,37739580
08/21/2024,481.05,484.37,479.32,482.50,25658790
08/20/2024,480.35,482.94,478.55,480.26,29209340
08/19/2024,475.17,481.31,473.37,481.27,23737670
08/16/2024,472.62,476.41,471.65,475.03,38383620
08/15/2024,468.76,474.82,468.38,474.42,38280570
08/14/2024,463.51,465.1093,458.40,462.73,34733750
08/13/2024,455.82,462.85,455.68,462.58,40084460
08/12/2024,451.39,454.37,448.5546,451.38,27795010
08/09/2024,446.74,452.06,445.61,450.41,33573980
08/08/2024,441.06,448.99,437.15,448.07,47890070
08/07/2024,446.49,449.00,434.37,434.77,54929160
08/06/2024,437.23,447.07,434.56,439.53,63164430
08/05/2024,424.71,442.29,423.45,435.37,87483450
08/02/2024,450.89,453.57,444.47,448.75,66323240
08/01/2024,471.76,475.55,455.98,459.66,56653900
07/31/2024,467.87,472.79,466.41,471.07,44552130
07/30/2024,465.85,466.561,454.15,457.53,41317210
07/29/2024,465.71,467.91,461.615,463.90,28218480
07/26/2024,462.65,465.93,459.77,462.97,39992130
07/25/2024,463.72,467.94,455.63,458.27,59256760
07/24/2024,473.82,474.19,462.51,463.38,58818630
07/23/2024,481.41,484.43,480.14,480.62,23282450
07/22/2024,481.16,483.35,477.7068,482.32,40300000
07/19/2024,479.15,481.69,473.94,475.24,42042860
